,words,sentiments
5085,this mason greenwood na star      jesus     see goal    wow,Positive
5086,mad ooo   ,Negative
5087,una dey mad         juan mata 3 0   ,Negative
5088,that pass wey matic give mata  wow  ,Positive
5089,young        their daddy    1 0,Positive
5090,e remain small dem for score united but romero catch am ,Negative
5091,we go score two goals for this half ,Negative
5092,ht  manchester united 0 0 az alkmaar how you see the first half ,Positive
5093,man united na the best club for this world,Positive
5094,na our united xi vs az alkmaar  romero  young  tuanzebe  maguire  williams  matic  pereira  garner  mata  martial  greenwood  how you see am ,Positive
5095,men don show for old trafford ,Positive
5096,erling braut håland dey reason move as e no wan go bundesliga club  united dey hin mind  na wetin sources for austria dey talk  e get  20m release clause wey fit allow am to leave rb salzburg in january  telegraph ,Positive
5097,na our squad wey wan face az alkmaar  romero  grant  kovar  laird  tuanzebe  jones  maguire  williams  young  fre ,Negative
5098,na our squad wey wan face az alkmaar  romero  grant  kovar  laird  tuanzebe  jones  maguire  williams  young  fred  mctominay  pereira  garner  matic  mata  martial  greenwood  chong  rashford  men ,Negative
5099,you go find better players for oshodi,Positive
5100,erling braut håland talk say the koko na make e see playing time  and e dey worry say e no go see am at united as dem get rashford and martial  united and juventus wan table big five year contract for am  ,Negative
5101,erling braut håland dey reason borussia dortmund and rb leipzig side but e wan talk with and juventus first before e go decide ontop hin future  the team wey buy am go pay big money to mino raiola as commission   ,Positive
5102,like if you believe say man utd go win tonight ,Positive
5103,united don show signs say dem don improve lately  the team don win guys such as tottenham and manchester city in   so  how dem go perform today  get involved by predicting the outcome of the match  follow ,Positive
5104,na matchday   europa league old trafford   20 00 gmt   az alkmaar make una ginger united  ,Positive
5105,na young daniel james  see as e be like justin beiber ,Positive
5106,best keeper  amp  best bench keeper  men wey sabi,Positive
5107,paul pogba go miss az alkmaar clash but e go return back to action in 2019 ,Positive
5108,manchester united wan eye kai havertz  bayern munich self dey eye am and dem wan table  90m for am but bayer leverkusen no gree   sportbild ,Negative
5109,josé mourinho wan bring former player marouane fellaini to tottenham in january   source  daily mirror ,Negative
5110,sometimes i dey wonder whether shit no dey catch football players ,Negative
5111,manchester united dey make plans just incase paul pogba wan leave the club  dem wan sign two central midfielders before next season  donny van de beek and saúl ñíguez dey part of the people wey dem dey reason   source  daily mail ,Negative
5112,ole   the koko for football na make person dey consistent  if we wan win trophy  den gats learn am  how to play well when shit dey catch them  no be everytime wey you go feel good ontop pitch  but you gats give your best    bbc ,Positive
5113,ole don confirm say jesse lingard dey absent from training this morning as e bin injure  knock  for that saturday game v man city ,Negative
5114,official  nemanja matic dey fit and e go take part against az alkmaar   bbc ,Positive
5115,ole   man united fans sabi football  dem be the best fans wey dey this world  na only positive relationships wey i get with them and i hope say e go continue that way  ,Positive
5116,ole   make paul recover first and make e get back on form  for me  na one of the best players for this world  e dey sweet me say e go come back soon    bbc ,Positive
5117,na sergio romero wey follow ole for the press conference and e don yarn     when i be pikin  i dey watch united games and ole bin dey part of that team  i know say the guy na jmportant man then so i get mad respect for am  i trust am  ,Negative
5118,ole   e never tey wey we win europa league  na tournament wey make sense  i bin enjoy am with molde and i dey enjoy am now  i hope say we go win am  ,Positive
5119,ole   i no dey tell our players say i no care if we win or lose  maka why  i dey tell dem to play their life out every time dem wear the manchester united jersey  dem get chance to prove say dem belong here  ,Positive
5120,ole   ups and downs dey part of football but we know say we dey on the right track  i dey watch these boys for training everyday so i sabi say dem get skills  i no dey fear  ,Positive
5121,lingard ontop rashford   e dey try wella and e no proud  na humble guy  e dey work hard and e dey show for matches  e still be pikin  just 22 but e dey ball fire  ,Negative
5122,wetin you think about ole gunnar solskjaer as united boss   talk true ,Positive
5123,na how luke shaw take dey wait for the full time whistle in inter vs barcelona game  ,Negative
5124,luke shaw don finish romelu lukaku on twitter  e dey welcome am to europa league,Positive
5125,marcus rashford no wan leave man united for barcelona  e no even reason am for once   eress ,Positive
5126,ole gunnar solskjaer don tell ed woodward say e wan sign two midfielders and one striker  e bin mention haaland and james maddison s name for the report   the athletic ,Negative
5127,baba we don meet again sha  in this life  you no fit run from your destiny ,Negative
5128,man united players dey make pikin s dream come true   ,Positive
5129,which country get the best fans between nigeria  amp  ghana  for nigeria      like for ghana     ,Positive
5130,which country get the best fans between nigeria  amp  ghana  for nigeria      like for ghana   ,Positive
5131,juan mata na nice guy,Positive
5132,leicester city wan collect at least  100m for james maddison  james maddison na primary target for man united   the athletic ,Negative
5133,which man utd woman fine pass  the ghanaian dey rock cap  while the nigerian woman dey wear red united jersey  ,Positive
5134,which man utd woman fine pass  the ghanaian dey rock cap  while the nigerian woman dey wear red united jersey  for ghana    like for nigeria   ,Positive
5135,scott na the new school paul scholes,Positive
5136,fletcher   i bin dey yarn with some of the man utd players and dem tell me say nobody don pass wan bissaka for training   the guy no dey ever gree make anybody pass am  the guy sabi play full back wella  ,Positive
5137,as we dey rejoice over ole s win against tottenham  amp  man city  we hope say hin man utd team go find their form against small teams  make e no get the same problem wey louis van gaal get  lvg na top 6 specialist but e struggle vs small clubs ,Positive
5138,which country get the best fans in africa  for nigeria    like for ghana   ,Positive
5139,nigeria  amp  ghana dey fight but you no fit put mouth because you love both countries       as long as you be fan  we love you    africa to the world  their daddy  ,Positive
5140,we don reach 54 000 followers  we wan appreciate all our fans  whether you be from nigeria  ghana  sierra leone  indone ,Negative
5141,we don reach 54 000 followers  we wan appreciate all our fans  whether you be from nigeria  ghana  sierra leone  indonesia  england  cameroon  mali  namibia  south africa  etc muip no be brand  na family and all of una dey part of that family  we love you ,Positive
5142,since nigeria  amp  ghana dey compete today on twitter  if you dey from nigeria    or ghana     reply us with your jersey picture and rep your country  we wan sabi which country get fresher fans  leggo,Negative
5143,our biggest audience dey come from nigeria and ghana but we wan sabi the country wey get the most man united fans ,Positive
5144,man united get the finest set of female fans in africa  tacha dey rep nigeria while serwa dey rep ghana    but between nigeria  amp  ghana  which country s women fine pass    for nigeria    like for ghana   ,Positive
5145,daniel james be our best signing post sir alex  if you wan talk about price tags,Positive
5146,our biggest audience dey come from nigeria and ghana but we wan sabi the country wey get the most man united fans  so  if you be nigerian  if you be ghanaian  like  ,Positive
5147,schmeichel   e  james  dey ball fire  e dey chase every ball  he dey part of every counter attack and  at the same time  e dey help wan bissaka for right hand side  e don play every single game this season and e still dey play well  na mad signing    plp ,Negative
5148,which defender is better  for jones like for ramos,Positive
5149,ole solskjær  sir alex ferguson and mike phelan dey enjoy glass of wine after ole bin paint manchester red  see men,Positive
5150, una try  but make una no dey drop points against small teams abeg  make dem no sack me   na wetin ole dey tell marti ,Negative
5151,baba make we look ahead now  make we no do like after that psg game ,Negative
5152,mctominay na our most important midfielder atm,Positive
5153,manchester police don confirm say dem don arrest the man wey dey racially abuse fred for the manchester derby   mirror ,Negative
5154,this week  we don see the best of fred since e come man united  you feel say e fit maintain the level ,Positive
5155,we wan congratulate all the airtime winners on the predict  amp  win ,Positive
5156,scott mctominay na the best thing wey happen to man utd midfield this season ,Positive
5157,we wan wish scott mctominay happy birthday  ,Positive
5158,maguire na senior man  we love am,Positive
5159,like if you love man united wella  ,Positive
5160,which attacker is better  for rashford like for mane  ,Positive
5161,the last three man utd managers wey don beat city at ethiad stadium  van gaal 1 0 city  rashford ole 2 1 city  rashford  martial mourinho 3 2 city  pogba 2x  smalling  which of dem sweet you pass ,Positive
5162, una try  but make una no dey drop points against small teams abeg  make dem no sack me   na wetin ole dey tell martial  amp  lindelof,Negative
5163,man utd fans how una dey feel this morning  the win still dey sweet you for body ,Positive
5164, wan bissaka wetin dey your pocket   wan bissaka  na cash and my atm card   which bank   wan bissaka  sterling bank ,Negative
5165,our attack make sense today  daniel james no dey tire  we love am ,Positive
5166,wan bissaka you be monster    ,Negative
5167,like if you still dey happy ontop the win  ggmu ,Positive
5168,man united dey give us joy  ,Positive
5169,sterling dey attack   wan bissaka ,Negative
5170,sterling dey with the ball   wan bissaka ,Negative
5171, wan bissaka wetin dey your pocket   wan bissaka  na cash and my atm card   which bank   wan bissaka  sterling bank,Negative
5172,raheem sterling wan beat andreas pereira,Negative
5173,martial pass give james  e give am back inside box  city person wan mark am but e use yansh  give am body  e dress am  ,Negative
5174,mctominay na midfield general fred na new signing this week rashford at lw  na beast james na warrior  e no dey tire wa ,Positive
5175,man united dey make me cry  na tears of joy ,Positive
5176,like this tweet  if you believe say wan bissaka na one of the best right back for premier league ,Positive
5177,make our season kick on from here  top 4 na our birth right ,Positive
5178,ole   we sabi why we bin sign maguire  james and maguire  dem fit into wetin we dey try build  dem no dey proud  dem dey work hard and dem get home training  ,Positive
5179,mctominay na midfield general fred na new signing this week rashford at lw  na beast james na warrior  e no dey tire wan bissaka get hin own b bustop  man united dey kill big teams slowly ,Positive
5180,wan bissaka na warrior ,Negative
5181,this video na the best video for internet today ,Positive
5182,wetin you think about wan bissaka ,Negative
5183,make pesin check kdb oo  i hear say after fred pocket am for ethiad stadium hin dun dey missing since then  make una hala 911 if una sight am anywhere ,Negative
5184,ole ole ole ole  man u dey kill dem slowly ,Negative
5185,na our player ratings vs man city  de gea 9 wan bissaka 10 lindelof 9 maguire 8 luke shaw 8 scott mctominay 9 fred 9 lingard 7 martial 8 rashford 8 james 9 bench  pereira 7 tuanzebe 6 young 7 ole try today  10 ,Negative
5186,fred be like new signing this week ,Positive
5187,manchester united never lose vs  any  big six  side when scott mctominay follow start match  p9   w6   d3   l0 na big game changer        ,Negative
5188,scott mctominay game by numbers vs  man city  e recover 7 ball e suffer 5 fouls e do 5 clearances e get 4 5 aerials won e get 3 3 tackles won e get 3 interceptions na paul scholes reincarnation,Negative
5189,we gats appreciate fred this week  e be like new signing ,Positive
5190,david de gea na the best goalkeeper for this league,Positive
5191,na daniel james create 4 chances vs  man city  no player for pitch create more  thia guy na the biggest steal in recent times for manchester united,Positive
5192,when wan bissaka empty hin pocket tonight ,Negative
5193,we be manchester united  we fit beat anybody  their daddy ,Positive
5194,solskjaer   we bin defend well but e pain me say we concede that corner  i no fit blame them  david de gea na the best goalkeeper for this world  we bin eect am to dey at hin best and e dey get back there  ,Positive
5195,jesse lingard game by numbers vs  man city  e get 100  final third pass accuracy e get 87  overall pass accuracy e get 3 shots  3 on target  e get 3 take ons our yahoo boy dun vex,Negative
5196,solskjaer   the way my players take maintain their shape  make brain  but dem gats work hard as dem dey face some of the best players for this world  na how football take be  na special night for wan bissaka wey don ball fire since e come united  ,Positive
5197,man united na the best club this week   ,Positive
5198,ole   wan bissaka bin ball fire today  i no fit believe how fred dey play  our keeper  don return back to hin best  ,Positive
5199,sir alex ferguson don praise ole gunnar solskjaer for hin win against city  love this ,Positive
5200,victor lindelöf game by numbers vs  man city  hin win 100  aerials dues hin win 100  tackles hin pass accuracy na 84  hin do 5 ball recoveries hin do 8 clearance hin block 4 balls hin do 0 fouls linfelof na commander   ,Positive
5201,aaron wan bissaka game by numbers vs  man city  hin get 100  successful take ons hin do 7 clearances hin win 5 tackles hin block 4 crosses hin do 3 blocks hin do 2 interceptions hin do 1 foul marvel gats sign this guy,Positive
5202,na daniel james defensive stats vs  man city  hin recover 8 ball hin win 4 tackles hin block 2 crosses hin do 1 interception hin do 0 fouls na defensive winger        ,Positive
5203,na fred complete 4 4 take ons vs  man city  no player ontop pitch complete more  na brazilian ryan giggs,Positive
5204,like if you believe say wan bissaka na the best rb for the premier league ,Positive
5205,rashford   we gats dey score more goals  we go work on ourselves  i no get luck today  that one wey knack bar  pain me  we fit improve    sky ,Positive
5206,mctominay   the first 30 minutes  we wan wound dem  dem no believe am    sky ,Positive
5207,rashford   we for don score them more  but na tough win  the whole team bin join body  we go enjoy am  this win go help us as we dey move forward    sky ,Positive
5208,man united fit beat anybody  where liverpool dey    ,Positive
5209,manchester united na first team to beat manchester city multiple times for etihad for premier league under pep guardiola  city 2 3 united city 1 2 united manchester na red,Positive
5210,we love una       ,Positive
5211,young and tuanzebe wan enter ,Negative
5212,make una no throway this win abeg ,Positive
5213,anthony martial game by numbers vs  man city  him get 100  tackles won hin pass 86  accuracy hin recovver 4 ball him tear 3 shots  2 ot  keeper spread yanch for am 1 times toto dey pepper,Negative
5214,you fit use wan bissaka as birth control pill ,Positive
5215,wan bissaka suppose get hin own b lane ,Positive
5216,wan bissaka dey everywhere   ,Negative
5217,person wey just dey enter match  e go do yama yama  you wan sell match    ,Negative
5218,lmao if dem tell me say i go dey watch man utd game this season and body go dey shake me like this i for tear the pesin slap,Positive
5219,this pereira na big moron,Negative
5220,otamendi         butr hin header fly out ,Positive
5221,the way tension dey catch me ehn  i fit piss for body ,Positive
5222,man city fans dey stone fred as e wan play corner ,Negative
5223,e sure me say daniel james go enjoy counter attack pass sex ,Positive
5224,aaron wan bissaka dun do more tackles  4  than the rest of man utd team combined  3  vs  man city so far  tom who    spiderman dey manchester united,Positive
5225,four players dun score 10  goals for premier league so far this season         jamie vardy  14         tammy abraham  11     pierre emerick aubameyang  10         marcus rashford  10  three lions dey this list    ,Positive
5226,axel tuanzebe dey warm up ,Positive
5227,na wan bissaka appreciation post be this  like this ,Negative
5228,we think say sterling don score  but wan bissaka no gree   this guy na area boy  e no dey gree  ,Negative
5229,otamendi wan enter for john stones ,Negative
5230,wan bissaka na the best right back for premier league,Positive
5231,na fred create 2 chances for box for first half vs  man city  no player on the pitch create more  frednadinho   ,Positive
5232,wan bissaka and lindelof dey try    dem be brick wall ,Negative
5233,man utd never lose any of the previous 170 premier league games wey dem bin dey 2  goals ahead for half time  w167 d3   as man city never win any of dem previous 51 matches when dem dey lose at dah interval by big margin for the competition  d1 l50  ,Negative
5234,make una score one more goal abeg  fear dey catch me ,Positive
5235,the second half don start  god abeg o ,Negative
5236,manchester united na the first side to dey 2 0 up before half time for premier league game away for manchester city backyard since liverpool in november 2015  mad o   opta ,Negative
5237,anthony martial  amp  daniel james gats work more on cross  amp  tap ins  the number of balls wey james don put inside box for martial  we notice say the french man no dey make runs  ole gats address this issue ,Positive
5238,make person go tell our players say dem gats focus o  this game no dey buried yet  we gats score more goals ,Positive
5239,manchester city 0 2 manchester united  na rashford and martial wey score  how you see the first half ,Positive
5240,man united na the best club for this world ,Positive
5241,o boi  city wan kill us ,Negative
5242,e be like say our game don drop since e become 2 0 ,Negative
5243,paul pogba dey enjoy am self,Positive
5244,big chance  de bruyne cross mad ball inside box for jesus  e head am  ball fly out ,Positive
5245,chance     james cross mad ball inside box  maial no reach am  e for be 3 0 ,Negative
5246,sir alex dey happy  e no fit believe hin eyes ,Positive
5247,manchester city dun concede more premier league goals via penalties to manchester united  five  than any other opponent  as the red devils bin dun score from the spot for both of dem last two visits to the etihad ,Positive
5248,marcus rashford dun score 13 goals for him 21 appearances in all competitions this season   as hin equal hin best goalscoring return for man utd ontop one single season  13 goals in 47 apps in 2018 19 and 13 goals in 52 apps in 2017 18   na devil  ,Positive
5249,martial pass give james  e give am back inside box  city person wan mark am but e use yansh  give am body  e dress am  e shooot  ederson dive but dem no born hin father  goal ball  2 0,Negative
5250,their daddy     one more goal dey come  ,Positive
5251,una dey mad           maial 2 0,Negative
5252,marcus rashford career record against the rest of the premier league  big six         vs  chelsea     vs  man city     vs  liverpool     vs  spurs    vs  arsenal na  big  game  player ,Negative
5253,rashford          e for be 2 0     wow how e miss   ,Positive
5254,man city players still dey complain to ref say no be penarity  but ref say make dem no chop shit ,Negative
5255,una dey mad     goal ball  1 0 marcus rashford don burst man city yansh  their daddy ,Negative
5256,see clean penarity but ref no blow wow,Positive
5257,maial          e shoot  ederson fly punsh am out ,Positive
5258,that block wey lindelof do    wow ,Positive
5259,lingard          e tear shot but ederson use leg block hin shot  wow ,Positive
5260,see ball wey martial spoil  lazy man ,Negative
5261,una dey use old skool computer,Positive
5262,e remain small de bruyne for cross inside box but wan bissaka clear am ,Negative
5263,manchester united go win today manchester united go win today manchester united go win today manchester united go win t ,Positive
5264,predict and win  predict the scoreline between manchester united and city so you fit win n500 airtime  you must   ret ,Positive
5265,we dey face everton next  this game na must win  since we dey lose against small teams  make we kukuma beat city since dem be big team,Positive
5266,manchester united go win today manchester united go win today manchester united go win today manchester united go win today manchester united go win today manchester united go win today manchester united go win today manchester united go win today mark this tweet  ,Positive
5267,if we no win today  chase ole jare,Negative
5268,na our manchester united team vs manchester city  de gea  wan bissaka  maguire  lindelof  shaw  mctominay  fred  lingard  james  rashford  martial  how you see am ,Negative
5269,if ole get sense  e go start exactly the same players wey face tottenham  if e change that setup  we go lose ,Positive
5270,marcus rashford dun dey directly involved in 14 goals in 13 games ontop all competitions  12 goals  2 assists ,Positive
5271,chelsea don lose o  na motivation to win tonight ,Positive
5272,chelsea   fashi say we dey lose  we dey play good football  man utd 4 0 chelsea everton 3 1 chelsea west ham 1 0 chelsea man city 2 1 chelsea liverpool 2 1 chelsea once chelsea see say na top club dem dey face  dem go form activity so their fans go smile in defeat,Positive
5273,chelsea fans   now na the best time to play everton  dem no dey form so we go wound dem  abraham dey play self  e don be   everton 3 1 chelsea in summary  na only for street agbero get mouth ,Positive
5274,this one wey chelsea dey drop points  e mean say when we beat man city  we go near them  las las  top 4 no dey impossible if mumu dash am to you   ,Negative
5275,we go win by god s grace ,Positive
5276,the dey come  e go be serious game for the red devils  how dem go perform  get involved by predicting  follow ,Negative
5277,which manager is better  for solskjaer like for guardiola  ,Positive
5278,predict and win  predict the scoreline between manchester united and city so you fit win n500 airtime  you must    this tweet    mention one fan you know   follow we go pick 4 winners ,Positive
5279,lukaku x smalling    yesterday  lukaku dey inside smalling s pocket  hin performance dey amazing ,Positive
5280,na how chris smalling take perform vs  inter  long balls dey 100  accurate pass dey 85  accurate 75  aerials won e recover 5 balls 3 interceptions 3 clearances 1 block 0 x dribbled past 0 goals conceded e shine vs  one of the best sides wey dey serie a ,Positive
5281,united squad vs city  spanish winsh  romero  agbalagba issakaba  vic o  maggi  tuanzebe  shaw  young  awilo pastor fred  pereira  garner  tom tom  lingo lingo  juan ikeji ji masun  dano milk  martial  rashidi  men ,Positive
5282,na our squad wey wan face manchester city  de gea  romero  grant  wan bissaka  lindelof  maguire  tuanzebe  shaw  young  williams  fred  pereira  garner  mctominay  lingard  mata  greenwood  james  martial  rashford  men ,Negative
5283,which striker is better  for martial like for aguero  ,Positive
5284,predict and win  predict the scoreline between manchester united and city so you fit win n500 airtime  you must    ,Positive
5285,david de gea na the best goalkeeper for premier league ,Positive
5286,e go concede two goals but we go win 3 2 ,Positive
5287,manchester united dey hope say dem fit beg christian eriksen to join them after e no gree come old trafford in the summer   source  daily mirror ,Positive
5288,man united legends na the best for this world ,Positive
5289,injury update  pogba go miss the manchester derby on saturday  anthony martial fit miss am  but ole dey hope say e go dey available   ,Positive
5290,tottenham wan sign nemanja matić in january  e fit leave and no mind to sell am  the club wan collect  15m from spurs but dem fit accept less sha   br ,Positive
5291,roma and inter dun vex ban corriere delle sport ontop dem  black friday  headline as chris smalling dun come out yarn hin mind ,Negative
5292, paul pogba go miss the manchester derby  martial fit start for bench  man utd boss solskjaer don yarn,Positive
5293,ole   pogba go play  e no go play  but e dey train already  e fit play in 2019 sha  before the new year  ,Positive
5294,ole ontop rashford   e dey see chances everytime and e dey position well  on wednesday night  dem no fit contain am  we hope say we go see more of that kind rashford  ,Positive
5295,ole   my players don get confidence  that win wey we see on wednesday don boost our moral  e sure me say the boys dey ready for the derby  we still get energy  we go dey alright  ,Positive
5296,leave story for lawma  win city 3 2,Positive
5297,ole   manchester derbies dey special but you no fit talk say na the most important game for the league  e dey special to fans sha  we dey ready  our fans bin ginger when we face spurs  e sure me say dem go ginger for ethiad  ,Positive
5298,ole   we hope say anthony go dey fit for the game  we no dey sure if e go fit start sha    men ,Positive
5299,predict and win  predict the scoreline between manchester united and city so you fit win n500 airtime  you must   follow and   this    tag mention one fan you know  we go pick four winners ,Positive
5300,marcus rashford dey as good as sadio mane this season  wow,Positive
5301,you feel say fred fit control midfield against man city ,Positive
5302,which winger is better  for james like for sterling  ,Positive
5303,we don set our team for  wetin you think  we go bench greenwood if pogba or martial dey fit   ,Positive
5304,man city go hard o  na for ethiad self  na god go save us  if we go beat dem  we gats work very hard ,Negative
5305,arsenal s goal difference na  2 wow  ,Positive
5306,mctominay ontop ole   i no dey pay attention to wetin people dey talk online about ole  or for newspapers  see ehn  na our duty to fight for our coach  i hope say we go perform well because we love am    mutv ,Positive
5307,like if you be die hard fan from africa,Negative
5308,man united be lion against big teams  but dem rat against small teams  wow,Negative
5309,make we imagine say wolves na top 6 team  maybe we go win them ,Positive
5310,man united never lose against top 6 side so far this season  but dem go face their biggest test this weekend  man city  wetin you dey eect ,Positive
5311,mctominay na our best midfielder this season,Positive
5312,erling braut haaland   bild talk say the player get clause for hin contract so e mean say the player fit leave red bull salzburg in january for  20m ,Positive
5313,chelsea wan sign united target jadon sancho   men ,Negative
5314,ole gunnar solskjaer think say the only job for man united boss na to do well against top clubs  our players dey only train when dem wan face big teams ,Positive
5315, i believe say with the way dem dey play  e dey easier for them to face big teams than small teams   jose mourinho don fire shots on hin old trafford return ,Negative
5316,man utd go finish top 4,Positive
5317,if you wan beat man united  give dem ball  dem go confuse ,Negative
5318,wetin you think about ole vs top 6 teams  e fit lead man utd to beat man city at ethiad ,Positive
5319,ole ontop fred   the boy dey work hard  him and mctominay dey understand themselves   i don dey use dem wella  so their confidence don dey improve    mu ,Negative
5320,rashford  you go win world best one day  if messi fit win am  you fit win am,Positive
5321,we wan wish anthony martial happy birthday  e don turn 24 years old ,Positive
5322,topic  marcus rashford na our best attacker this season  true or false,Positive
5323,fans  if you wan laugh this morning  check this thread now  ,Positive
5324,wetin you think about aaron wan bissaka   talk true ,Positive
5325,na   good thing say e dey come after the spurs 2 1 win,Positive
5326,fred sabi play ball  the koko na make e dey more consistent  hin partnership with mctominay make brain  when pogba come back  na no 10 role e go play  then scott  amp  fred go dey behind am ,Positive
5327,na our player ratings vs mourinho s tottenham  de gea 7 lindelof 8 maguire 7 wan bissaka 7 young 7 fred 10 motm mctominay 8 lingard 8 rashford 9 james 7 greenwood 7 bench  shaw 6 pereira 5 ole  e try tactically so we go praise am  9,Negative
5328,like this picture  if you be die hard fan from africa   reply us with your country flag ,Negative
5329,like if you dey happy for fred,Positive
5330,man united fans na the best for this world,Positive
5331,ole   na the best we don play for long time  we control game o  we for don wipe dem like 4 for first half  na god save them  we dey play well when we score first  we give dem body o  we attack self  my boys bin follow the plan    amazon ,Positive
5332,ole ontop rashford   the boy don dey full ground wella  e ball fire  e score two  e for score more self    amazon ,Positive
5333,scott mctominay na general  we bin miss am wella when e dey injured ,Positive
5334,na ole and manchester united form this season against big team be this ole 1 0 jose ole 2 0 lampard ole   kloop ole   good ebening ole   rogers this man utd team always dey beast mode against big teams  we hope say them fit dey consistent to keep top 4 hopes alive ,Positive
5335,rashford   the kind work wey we do for the game ehn  e no easy at all  the position we dey now  we wan show people say we fit play against top teams  ,Positive
5336,manchester united na the first team to beat spurs since josé mourinho replaced mauricio pochettino ,Positive
5337,man utd go win today mark this tweet ,Positive
5338,ole gunnar solskjaer don beat jose mourinho for this life  person wey be mumu fit score higher than prof for exam ,Positive
5339,rashford better pass messi,Positive
5340,we believe say na fred s best game in jersey  like if you gree  ,Positive
5341,na who be our best player vs spurs  after you don vote ,Positive
5342,sometimes you go pray for fried rice and chicken but you go manage indomie ,Negative
5343,ft  manchester united 2 1 tottenham marcus rashford na big game player,Negative
5344,this change dey make us sit deep  my heart wan cut,Negative
5345,this na the best game wey fred don play for man united ,Positive
5346,why shaw dey enter the game  baba na 2 1 now  no be 3 1  make this man no use yama yama tactics and spoil our win o ,Positive
5347,jesse lingard don injure  no wound o  we no wan make pereira return back to starting xi,Positive
5348,dem fit blow final whistle for 81st minute  make i no faint with tension ,Positive
5349,ole wan put pereira     why     for what    ,Negative
5350,we gats score one more goal ,Positive
5351,the way tension dey catch me ehn  i fit shit for body ,Positive
5352,ashley young don start hin mumu behavior as usual ,Negative
5353,rashford na our best player this season,Positive
5354,e remain small son for score but fred block am  ope o ,Negative
5355,this ashley young na enemy of progress ,Positive
5356,una dey mad       goal ball      2 1      rashford   ,Negative
5357,we go win dem by god s grace ,Positive
5358,by god s grace  we no go self destruct for second half ,Negative
5359,ht  manchester united 1 1 tottenham  na rashford and alli score  man utd dey play well but if you no take your chances  dem go punish you  na wetin happen  how you see the first half ,Positive
5360,maguire dey shaky  very shaky  but he gats adapt fast  if our defense fit gbam e go help the team wella,Negative
5361,this one wey tottenham dun score i pray make this manchester united team not fall to pressure  na wetin fit break down this team be this  cos dem go start to dey misplace passes dey over tap ball anyhow,Positive
5362,that defending dey poor  na wa,Negative
5363,if lingard continue like this pereira fit chop bench enter next season i swear,Positive
5364,shey lingard dun dey find hin form back abi hin dun resume yahoo cos i still dey confused  baba just come con dey use tottenham defense play 2 odds,Negative
5365,so manchester united fit play like this and we dey draw small small teams back to back,Negative
5366,lingard     e dress am  e shooot  e for be 2 0 but hin shot fly out  wow,Positive
5367,rashford     e shoot  keeper fly punsh am ,Positive
5368,e for be 2 0    rashford s shot knack bar  wow,Positive
5369,rashford     wow    see shot  jesus ,Positive
5370,wan bissaka    ,Negative
5371,marcus rashford dun score 11 goals for hin last 13 games for man utd  amp  england  three more than in hin previous 13 appearances for 2019 20  na devil,Positive
5372,marcus rashford get hand for seven goals  6 goals  1 assist  for hin last 5 matches against top six sides this season,Positive
5373,marcus rashford dun now net at least two career goals against all other  big six  teams        vs  chelsea     vs  liverpool    vs  arsenal    vs  man city    vs  spurs abraham who    another goal dey tho weekend,Negative
5374,rashford na big game player   ,Negative
5375,una dey mad       rashford     their daddy    1 0 ,Negative
5376,if you believe say man utd go win tonight ,Positive
5377,na our to do list tonight  welcome jose well respect hin players try reach half time at 0 0 then tear tottenham yansh ,Positive
5378,our players don show  see fresh boys  ,Positive
5379,schmeichel   i dey hope make the club give am  solskjaer  time because e dey do good job    amazon ,Positive
5380,na our manchester united team vs tottenham  de gea  wan bissaka  maguire  lindelof  young  mctominay  fred  lingard  rashford  james  greenwood  how you see am ,Negative
5381,mctominay don show face for old trafford,Positive
5382,jose mourinho don return back at old trafford,Positive
5383,dear ole  we get mad love for you but if you start phil jones tonight  we go scream  amp  nobody go save you  re ,Negative
5384,which player is better  for jesse lingard like for dele alli,Positive
5385,pure water no get enemy  tell ole to be more like pure water,Positive
5386,na our to do list tonight  welcome jose well respect hin players try reach half time at 0 0 then tear tottenham yansh 2 0 at full time hail am as e dey leave our house,Positive
5387,if solskjaer no be united legend  united for don sack am you no fit make excuses for 27 4  win ratio  ole bin get the permanent job because of how well e perform as caretaker  now e dey put up performances wey dey lead to sack  if e no take time  e go lose hin job ,Positive
5388,ole gunnar solskjaer don dey find excuse for hin failure at united   na because dem no do lukaku  amp  maguire transfer on time  na why our transfer window no make sense  ,Negative
5389,wetin josé mourinho go collect on hin old trafford return tonight  win lose draw,Positive
5390,na how you go ginger on social media  when game start now  you go dey mess up ,Negative
5391,na our squad wey wan face tottenham  de gea  romero  grant  wan bissaka  lindelof  maguire  tuanzebe  williams  young  shaw  fred  mctominay  pereira  garner  lingard  mata  james  greenwood  rashford  men ,Negative
5392,we hope say man united fans go welcome jose mourinho well when e come to old trafford today,Positive
5393,jose mourinho go return back to old trafford today ,Positive
5394,we no go predict jare  just give us 3 points  una dey mental ,Negative
5395,as martial dey injured  e be like that year wey van gaal use rashford for the first time  hopefully  ole go grow some ,Positive
5396,we go win them  ,Positive
5397,former tottenham manager mauricio pochettino wan replace ole gunnar solskjaer and hin 419 dna as manchester united boss   source  manchester evening news ,Negative
5398,this harry maguire no be improvement on chris smalling jare  to me  na ball playing phil jones  e dey good on the ball  but off the ball  na mumu ,Positive
5399,dear ole  we get mad love for you but if you start phil jones tonight  we go scream  amp  nobody go save you  regards  muip,Negative
